2865,Santhosh Rice Industries,CRISIL BB-,31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2866,Santlal Industries Limited,CRISIL B-,16-Dec-10,Suspended,3-Nov-13,CRISIL B+,7-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2867,Santo Engineering Company Private Limited,CRISIL B/CRISIL A4,16-Jan-13,"CRISIL BB-/CRISILA4+",28-May-14,"CRISIL BB/CRISILA4+",20-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2868,Santosh Fine-Fab Limited,CRISIL BB,26-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2869,Santosh Infra Power Private Limited,CRISIL BB-/CRISIL A4+,25-May-12,"CRISIL BB/CRISILA4+",28-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2870,Santosh Steel Industries,CRISIL BB-/CRISIL A4+,19-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2871,Santosh Timber Trading Company Limited,CRISIL B+/CRISIL A4,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2872,Santosh W/O Sh. Vinod Kumar Warehouse,CRISIL BB-,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,Santoshi Hyvolt Electricals Private Limited,CRISIL B+/CRISIL A4,23-Dec-10,Suspended,29-May-14,CRISIL B+/CRISIL A4,29-Nov-14,"CRISIL B/CRISILA4",15-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,
2874,Santpuria Alloys Private Limited,CRISIL B-/CRISIL A4,30-Sep-09,CRISIL D/CRISIL D,20-Dec-11,CRISIL B+/CRISIL A4,31-Oct-14,Suspended,17-Mar-16,"CRISILBBB/CRISIL A3+",31-Dec-16,,,,,,,,,,,,,,,,,,,,,,
2875,Santuka Vyapaar Private Limited,CRISIL B,28-May-14,CRISIL C,18-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2876,Sanvi Spinning Mill Private Limited,CRISIL B+/CRISIL A4,9-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2877,Sanvita Bio Technologies Private Limited,CRISIL B,16-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2878,Sanwar Mal Khetawat,CRISIL BB+/CRISIL A4+,29-Sep-10,"CRISIL BBB-/CRISILA3",26-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2879,Sanya Motors Private Limited,CRISIL BB-/CRISIL A4+,17-Jan-13,"CRISIL B+/CRISILA4",15-May-15,CRISIL B-/CRISIL A4,25-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2880,Sanyasihat Tea Processing Private Limited,CRISIL BB/CRISIL A4+,30-Jan-15,"CRISIL BB+/CRISILA4+",9-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2881,Sanzyme Private Limited,CRISIL BBB-/CRISIL A3,18-Dec-09,"CRISIL BBB/CRISILA3+",29-Sep-10,Suspended,6-Oct-13,Withdrawal,13-Jan-14,"CRISILA/CRISIL A1",14-Sep-16,,,,,,,,,,,,,,,,,,,,,,
2882,Saomya Fortune Infra Ventures,CRISIL BB-,21-Aug-14,CRISIL D,13-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,Sap Print Solutions Private Limited,CRISIL BBB-/CRISIL A3,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2884,Sapat International Private Limited,CRISIL BBB,15-Jul-13,Suspended,19-Dec-14,CRISIL BBB+,16-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,Sapna Gems,CRISIL A4,30-Sep-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,Sapna Steels,CRISIL B+,19-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,Sapphire Papers Mill Private Limited,CRISIL D/CRISIL D,7-Mar-11,Suspended,22-May-13,CRISIL B+/CRISIL A4,30-Nov-13,"CRISIL BB-/CRISIL A4+",4-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,
2888,Sapphire Projects Private Limited,CRISIL BB+,16-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889,Sapthavarna Builders Private Limited,CRISIL B+,30-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,Sar Transport Systems Private Limited,CRISIL BB-,21-Jun-12,CRISIL BB,30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2891,Sara Exports Limited,CRISIL B+/CRISIL A4,21-Oct-11,CRISIL B+,16-Jan-13,CRISIL BB,1-Dec-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2892,Sara International Private Limited,CRISIL BB-/CRISIL A4,12-Apr-10,"CRISIL BB/CRISILA4+",13-Mar-12,"CRISIL BB+/CRISILA4+",27-May-14,"CRISIL D/CRISILD",17-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,
2893,Sara Sae Private Limited,CRISIL AA/CRISIL A1+,31-Mar-09,"CRISIL A+/CRISILA1",5-Sep-12,CRISIL A/CRISIL A1,4-Apr-13,"CRISIL A-/CRISILA2+",26-Dec-13,"CRISILBBB+/CRISIL A2",8-Sep-15,"CRISIL BBB-/CRISIL A3",17-Mar-17,,,,,,,,,,,,,,,,,,,,
Sr. No.,Name of the Issuer,Initial Rating,Date of Initial Rating,"Rating after 1stRevision","Date of 1stRevision","Rating after 2ndRevision","Date of 2ndRevision","Rating after 3rdRevision","Date of 3rdRevision","Rating after 4thRevision","Date of 4thRevision","Rating after 5thRevision","Date of 5thRevision","Rating after 6thRevision","Date of 6thRevision","Rating after 7thRevision","Date of 7thRevision","Rating after 8thRevision","Date of 8thRevision","Rating after 9thRevision","Date of 9thRevision","Rating after 10thRevision","Date of 10thRevision","Rating after 11thRevision","Date of 11thRevision","Rating after 12thRevision","Date of 12thRevision","Rating after 13thRevision","Date of 13thRevision","Rating after 14thRevision","Date of 14thRevision","Rating after 15thRevision","Date of 15thRevision"
2894,Sara Suole Private Limited,CRISIL BB-/CRISIL A4,6-Apr-09,"CRISIL BB-/CRISILA4+",23-Feb-10,Suspended,30-Apr-13,"CRISILBBB+/CRISIL A2",24-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,
2895,Sara Textiles Limited,CRISIL B-/CRISIL A4,9-Apr-10,"CRISIL BB/CRISILA4+",15-Mar-12,"CRISIL BB+/CRISILA4+",27-May-14,"CRISIL B+/CRISILA4",17-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,
2896,Saraca Laboratories Limited,CRISIL BBB-/CRISIL A3,19-Oct-10,"CRISIL BBB/CRISILA3+",10-Jun-11,"CRISIL BBB+/CRISILA2",18-Sep-14,"CRISIL A-/CRISILA2+",3-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,
2897,Sarada Projects Limited,CRISIL BB/CRISIL A4+,10-Mar-10,CRISIL D/CRISIL D,13-Dec-11,CRISIL C/CRISIL A4,22-May-14,"CRISIL B/CRISILA4",30-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,
2898,Saradambika Power Plant Private Limited,CRISIL B,23-Dec-15,"CRISIL B+/CRISILA4",11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,Saraf Corporation India Private Limited,CRISIL B+/CRISIL A4,12-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,Saraf Textile Mills Private Limited,CRISIL B+/CRISIL A4,8-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,Sarah Foods,CRISIL B+,18-Feb-14,Suspended,19-Aug-15,CRISIL B+,19-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2902,Sarala Foods Private Limited,CRISIL BB/CRISIL A4+,29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,Saranya Garments Private Limited,CRISIL B+/CRISIL A4,31-Dec-12,"CRISIL BB-/CRISILA4+",10-Mar-14,Suspended,28-Oct-16,CRISIL BB+,19-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,
2904,Saraogi Udyog Private Limited,CRISIL BBB-/CRISIL A3,30-Oct-09,"CRISIL BBB/CRISILA3+",27-Sep-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2905,Saras Plastic Private Limited,CRISIL B,22-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2906,Saraswathi Engineering Construction Private Limited,CRISIL B/CRISIL A4,31-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2907,Saraswati Dynamics Private Limited,CRISIL BB/CRISIL A4+,4-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2908,Saraswati Gum and Chemicals,CRISIL BB-,17-Sep-12,CRISIL B+,20-Dec-13,Suspended,22-Aug-16,CRISIL B+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,
2909,Saraswati Industries,CRISIL B,26-Nov-12,CRISIL B/CRISIL A4,17-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,Saraswati Rice and General Mills - Taraori,CRISIL BB-,13-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2911,Sarat Chatterjee and Co (Vsp) Private Limited,CRISIL A+/CRISIL A1,30-Jul-09,CRISIL A/CRISIL A1,19-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2912,Sarath Enterprises,CRISIL B+,19-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Sarathas,CRISIL BBB+,30-Apr-12,Suspended,22-Apr-16,"CRISIL BBB+/CRISILA2",29-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2914,Sarathy Autocars,CRISIL BB-,16-Dec-09,CRISIL BB,27-Aug-10,"CRISIL BB/CRISILA4+",21-Apr-14,"CRISILBB+/CRISIL A4+",17-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
2915,Sarathy Coffee Curing Works,CRISIL B/CRISIL A4,3-Aug-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2916,Sarathy Motors (Kollam),CRISIL BB-,10-Jan-13,CRISIL B+,27-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2917,Saravana Sai Rice Industries,CRISIL B+,2-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2918,Saravana Selvarathnam Retail Private Limited,CRISIL BB+,30-Apr-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2919,Saravana Stores (Thanga Nagai Maligai),CRISIL BBB,23-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2920,Saravanaa Projects & Co.,CRISIL BB,17-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921,Sarawgi Builders and Promoters Private Limited,CRISIL BB-,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2922,Sarayu Cleangen Private Limited,CRISIL BB-,30-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2923,Sarda Bio Polymers Private Limited,CRISIL B-,11-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,Sarda Dairy & Food Products Limited,CRISIL BBB-,21-Apr-15,CRISIL BB-,12-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,Sarda Eco Power Limited,CRISIL A4+,23-Mar-10,CRISIL A4,23-Mar-11,CRISIL B-/CRISIL A4,30-Jul-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2926,Sarda Plywood Industries Limited,CRISIL B+/CRISIL A4,23-Apr-10,"CRISIL BB/CRISILA4+",6-Dec-10,"CRISIL BB-/CRISILA4+",16-Jul-12,"CRISIL B/CRISILA4",7-Jul-14,"CRISILB+/CRISIL A4",16-Sep-15,"CRISIL B-/CRISIL A4",9-Mar-17,,,,,,,,,,,,,,,,,,,,
2927,Sarda Rice and Oil Mills,CRISIL B+,12-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,Sardar Industries,CRISIL B+,30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,Sardar Jewellers,CRISIL B-,18-Sep-12,CRISIL C,5-Feb-14,CRISIL B-,20-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2930,Sardar Solvex Private Limited,CRISIL BB-,15-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2931,Sargam India Electronics Private Limited,CRISIL BB+,18-Jun-14,CRISIL BBB-,28-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,Saria Industries,CRISIL B/CRISIL A4,30-Mar-12,"CRISIL B+/CRISILA4",29-Oct-12,CRISIL B/CRISIL A4,26-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,Sarita Forgings Private Limited,CRISIL B+,28-Jun-13,"CRISIL B+/CRISILA4",28-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,Sarita Handa Exports Private Limited,CRISIL B+/CRISIL A4,21-Oct-09,"CRISIL BB-/CRISILA4+",12-Feb-13,"CRISIL BB+/CRISILA4+",8-May-14,"CRISILBBB/CRISIL A3+",21-Dec-15,"CRISILBBB+/CRISIL A2",17-Jan-17,,,,,,,,,,,,,,,,,,,,,,
2935,Saritha Cotton Industries,CRISIL B-,9-Apr-12,Suspended,16-May-14,CRISIL B,19-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2936,Sarjak Container Lines Private Limited,CRISIL BB+/CRISIL A4+,14-Jun-12,"CRISIL BBB-/CRISILA3",20-Dec-13,"CRISIL BBB/CRISILA3+",28-Aug-14,"CRISIL BBB-/CRISIL A3",14-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,
2937,Sarjan Watertech India Private Limited,CRISIL B,14-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2938,Sarla Handicrafts Private Limited,CRISIL B-/CRISIL A4,12-Apr-12,CRISIL B/CRISIL A4,1-Sep-14,CRISIL B+/CRISIL A4,22-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2939,Sarla Holdings Private Limited,CRISIL BBB+/CRISIL A2,16-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,Sarna Marbles Private Limited,CRISIL B-,16-Jul-14,Suspended,1-Apr-16,CRISIL B+,21-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,Sarodamoni Tea Company Private Limited,CRISIL BB+/CRISIL A4+,5-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,Saroj Prints (Chennai) Private Limited,CRISIL B,18-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2943,Sarra Motors Private Limited,CRISIL BB-/CRISIL A4+,10-Jul-12,CRISIL BB-,7-Nov-14,CRISIL B,23-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,Sarthak Enterprise,CRISIL B+/CRISIL A4,13-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2945,Sarthak Ispat Private Limited,CRISIL BBB-/CRISIL A3,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946,Sarthav Infrastructure Private Limited,CRISIL BB-,27-Dec-13,CRISIL D,4-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2947,Saru Silver Alloy Private Limited,CRISIL BB-/CRISIL A4+,22-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948,Sarvajnik Shikshonnyan Sansthan,CRISIL B+,29-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,Sarvani Readymix Concrete Industry,CRISIL B+/CRISIL A4,28-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,Sarvesh Rice Mill Private Limited,CRISIL B/CRISIL A4,28-Jun-12,"CRISIL B+/CRISILA4",8-Apr-15,CRISIL D/CRISIL D,8-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,Sarvoday Ashram,CRISIL B+,22-Jul-13,Suspended,28-Jan-16,CRISIL B+,21-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,Sarvodaya Education Society,CRISIL B,21-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2953,Sarvodaya Suitings Limited,CRISIL B/CRISIL A4,30-Apr-09,Suspended,29-Apr-13,CRISIL B+/CRISIL A4,21-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2954,Sarvodya Hospital,CRISIL D,11-Mar-14,CRISIL B-,11-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2955,Sarvottam Poultry Feed Supply Centre Private Limited,CRISIL B+,20-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,Sarvottam Rolling Mills Private Limited,CRISIL BB-,22-Jul-09,Suspended,27-Dec-12,"CRISIL BB/CRISILA4+",7-Jun-13,"CRISIL B+/CRISILA4",28-Jul-14,"CRISILB/CRISIL A4",6-Oct-16,,,,,,,,,,,,,,,,,,,,,,
2957,Sarwati Home Furnishings,CRISIL B,26-Feb-15,Suspended,27-Apr-16,CRISIL B+/CRISIL A4,16-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,Sarwati Polymers Private Limited,CRISIL B,26-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2959,SAS Automotives Private Limited,CRISIL BB,19-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960,SAS International,CRISIL BB/CRISIL A4+,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,SAS Trading Company,CRISIL C,30-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2962,Sasa Musa Sugar Works Private Limited,CRISIL C/CRISIL A4,26-Dec-08,CRISIL B/CRISIL A4,11-Apr-09,CRISIL B+,1-Nov-13,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,Sascon Infrastructure,CRISIL BB-/CRISIL A4+,10-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,Sasi Anand Spinning Mills (India) Private Limited,CRISIL BB/CRISIL A4+,6-Oct-09,Suspended,6-May-13,CRISIL BBB-,29-Nov-14,"CRISIL BBB-/CRISIL A3",27-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,
2965,Sasken Technologies Limited,CRISIL A1+,18-Dec-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2966,Satabdi Tea Processing Private Limited,CRISIL B/CRISIL A4,22-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2967,Satguru Agro Industries Limited,CRISIL BB-,22-Jan-10,"CRISIL BB-/CRISILA4+",22-May-12,CRISIL BB-,26-Aug-13,CRISIL B+,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,
2968,Sathe Synthetics (Prop. Rakesh Fuels Private Limited),CRISIL B+,10-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,Sati Granites India Private Limited,CRISIL B+/CRISIL A4,25-Jan-13,"CRISIL BB-/CRISILA4+",8-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,Satija Motors Pvt Ltd,CRISIL B+/CRISIL A4,18-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,Satish Steel Re Rolling Mills,CRISIL BB-/CRISIL A4+,29-Jun-15,"CRISIL B+/CRISILA4",31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2972,Satkar Paper Mills Private Limited,CRISIL B,30-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,Satkartar Electronics,CRISIL B+/CRISIL A4,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,Satluj Spintex Limited,CRISIL BBB-,31-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,Satma Industries Private Limited,CRISIL B+,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2976,Satnam Global Infraprojects Limited,CRISIL BBB+/CRISIL A2,24-Nov-09,"CRISIL BB/CRISILA4+",21-Feb-11,CRISIL B/CRISIL A4,13-Aug-13,"CRISIL B-/CRISILA4",19-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,
2977,Satpal Strips Private Limited,CRISIL B+,27-Jan-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,Satramdas and Co.,CRISIL A4+,30-Apr-11,Suspended,30-Sep-13,CRISIL C/CRISIL A4,11-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,Sattik Exports Private Limited,CRISIL B+/CRISIL A4,30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,Sattva Builders Private Limited,CRISIL A/CRISIL A1,19-May-11,CRISIL A,7-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,Sattva Developers Private Limited,CRISIL BBB+,31-Dec-08,CRISIL A,4-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,Sattva Engineering Construction Private Limited,CRISIL BB-/CRISIL A4+,7-Jan-13,"CRISIL BB/CRISILA4+",23-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,Sattva Housing Private Limited,CRISIL A,14-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,Sattva Real Estate Private Limited,CRISIL BBB+,31-Dec-08,CRISIL A,4-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,Sattva Realtors Limited,CRISIL BBB-,13-Jun-13,Withdrawal,31-Mar-16,CRISIL A(SO),19-Apr-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2986,Satvam Nutrifoods Limited,CRISIL B,17-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,Satvik Enterprises Limited,CRISIL BBB-/CRISIL A3,15-Jun-10,CRISIL A3,3-Dec-14,"CRISIL BBB-/CRISILA3",15-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,Satya Automobiles,CRISIL BB+,31-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989,Satya Constructions,CRISIL B+,27-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990,Satya Exports,CRISIL BB-/CRISIL A4+,10-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2991,Satya Jewellers,CRISIL B/CRISIL A4,30-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,Satya Megha Industries,CRISIL B/CRISIL A4,22-Feb-12,CRISIL D/CRISIL D,1-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2993,Satya Parkash And Bros Private Limited,CRISIL BBB-/CRISIL A3,29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,Satya Power and Ispat Limited,CRISIL BB/CRISIL A4+,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2995,Satya Sai Agro Industries,CRISIL B+/CRISIL A4,22-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996,Satya Srinivasa Enterprises,CRISIL B,10-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,Satya Surya Aluminium Industries Limited,CRISIL D/CRISIL D,3-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,Satya Trucking Private Limited,CRISIL BB,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,Satya Warehouse,CRISIL B,30-Jul-14,CRISIL D,25-Jan-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,Satyajeet Traders,CRISIL BB,30-Jan-14,CRISIL BB+,17-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,Satyam (Fab) Industries Private Limited,CRISIL BB/CRISIL A4+,28-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,Satyam Castings Private Limited,CRISIL B+,16-Nov-11,CRISIL BB-,11-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,Satyam Eximtex International Private Limited,CRISIL BB,21-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,Satyam Green Energy,CRISIL B,26-Nov-14,CRISIL D,24-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,Satyam Ispat (North East) Limited,CRISIL D/CRISIL D,26-Feb-10,CRISIL B/CRISIL A4,30-Jun-11,CRISIL D/CRISIL D,27-Jul-12,"CRISIL C/CRISILA4",17-Dec-13,"CRISIL B-/CRISIL A4",30-Oct-14,"CRISILC/CRISIL A4",16-Sep-15,"CRISIL D/CRISILD",16-Mar-17,,,,,,,,,,,,,,,,,,
3006,Satyam Pulse Mill,CRISIL B+,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,Satyawati Rice Mill,CRISIL B,21-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,Satyendra Agro Products,CRISIL B,23-Feb-15,Suspended,7-Dec-16,CRISIL B+,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
3009,Satyendra Kumar Construction Private Limited,CRISIL BB/CRISIL A4+,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,Saumil Impex Private Limited,CRISIL BB/CRISIL A4+,18-Jan-11,"CRISIL BB+/CRISILA4+",16-Nov-12,"CRISIL BB/CRISILA4+",30-Oct-15,"CRISIL B/CRISILA4",27-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,
3011,Saurabh (India) Private Limited,CRISIL A3,2-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,Saurashtra Alloy Steel Distributors,CRISIL A4+,14-Apr-15,CRISIL A4,9-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,Saurashtra Fuels Private Limited,CRISIL BB-/CRISIL A4+,25-Jun-15,"CRISIL BB+/CRISILA4+",13-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,Saurashtra Ginning Private Limited,CRISIL B,29-May-14,Suspended,30-Aug-15,CRISIL B,3-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,Saurashtra Infra and Power Private Limited,CRISIL BBB/CRISIL A3+,2-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,Saurava Towers Private Limited,CRISIL B-,26-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,Savariya Industries,CRISIL B,7-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,Savera Industries Limited,CRISIL BBB/CRISIL A3+,1-Apr-11,CRISIL BBB,28-Jun-12,"CRISIL BBB/CRISILA3+",8-Oct-12,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,Savino Ceramic Private Limited,CRISIL B/CRISIL A4,15-Oct-13,"CRISIL B+/CRISILA4",21-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,Savita Oil Technologies Limited,CRISIL AA/CRISIL A1+,27-May-08,"CRISIL AA-/CRISILA1+",23-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,Savita Polymers Limited,CRISIL A/CRISIL A1,13-Mar-09,"CRISIL A+/CRISILA1+",10-Nov-10,CRISIL A/CRISIL A1,23-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,Savitri Education Foundation,CRISIL BB-,30-Oct-13,"CRISIL BB+/CRISILA4+",29-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
