879,Arabian Gold and Diamonds Kayamkulam,CRISIL B+,6-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Arabian Jewellers -Karunagappally,CRISIL B,31-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Arabian Jewellers -Pathanamthitta,CRISIL B+,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Aradhana Automobiles Private Limited,CRISIL B,31-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Aradhana Distributors Private Limited,CRISIL B,31-Dec-12,CRISIL B-,21-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Arafaath Travels Private Limited,CRISIL B+/CRISIL A4,23-Sep-14,"CRISIL BB-/CRISILA4+",19-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Aran Kitchen World India Private Limited,CRISIL B-/CRISIL A4,2-May-11,Suspended,6-Mar-13,CRISIL B/CRISIL A4,13-Jun-14,CRISIL D/CRISIL,26-May-15,Suspended,29-Sep-16,CRISIL B-,23-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Aran Motors,CRISIL B-,30-Jan-13,CRISIL B,21-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Aranhikkal Granite Unit,CRISIL BB-,30-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Aranthaangi Chemical Products Limited,CRISIL BB/CRISIL A4+,20-May-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Arashu Clothing Company,CRISIL BB-,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Araska Diamond Private Limited,CRISIL A4,29-Jan-10,Suspended,17-Jul-13,CRISIL A4,26-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Arasu Jewels,CRISIL B,23-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,"Aravali Minerals and Chemicals Industries PrivateLimited",CRISIL BBB-/CRISIL A3,30-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Aravind Ceramic Industries Limited,CRISIL BB,30-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Arcanjo Constructions Private Limited,CRISIL B/CRISIL A4,25-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Archana Hospitals Private Limited,CRISIL BB-,27-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Archana Motors Private Limited,CRISIL B-,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Archana Oil Industries,CRISIL BB,20-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Archeesh Health Care Private Limited,CRISIL B,30-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Archis Packaging India Private Limited,CRISIL BB-/CRISIL A4+,23-Sep-13,CRISIL BB-,14-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,ARCIL Catalyst Private Limited,CRISIL BBB+/CRISIL A2,2-Jan-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Arcon Project Private Limited,CRISIL B+/CRISIL A4,4-Apr-13,"CRISIL BB-/CRISILA4+",22-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Arctic Agro Foods Private Limited,CRISIL BB+/CRISIL A4+,27-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Ardhendu Mondal,CRISIL BB-/CRISIL A4+,29-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Ardom Telecom Private Limited,CRISIL BBB-/CRISIL A3,29-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Arena Food and Agro Industries Private Limited,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Argil Ceramics,CRISIL BB-,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Arham Non Woven Private Limited,CRISIL B+,28-Apr-15,CRISIL D,31-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Aries Agro Limited,CRISIL A-/CRISIL A2,27-Jul-09,"CRISILBBB+/CRISIL A2",6-Jun-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Ariex Ispat Private Limited,CRISIL B,9-Mar-15,CRISIL B-,28-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Arihant Capital Markets Limited,CRISIL BBB-/CRISIL A3,7-Jan-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Arihant Coal Sales India Private Limited,CRISIL BB+/CRISIL A4+,9-Oct-09,Suspended,24-Jan-13,"CRISIL BB+/CRISILA4+",12-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Arihant Corporation,CRISIL B/CRISIL A4,20-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Arihant Educational Society,CRISIL BBB-/CRISIL A3,29-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Arihant Gems and Jewelleries Private Limited,CRISIL BB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Arihant Industrial Corporation Limited,CRISIL BBB-/CRISIL A3,10-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Arihant Infrastructures,CRISIL BB-,10-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Arihant Metals (Jodhpur),CRISIL B,30-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Arihant Packwell,CRISIL B+,30-Dec-14,CRISIL B,28-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Arihant Prime Developers Private Limited,CRISIL BB,3-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Arihant Printers,CRISIL B+/CRISIL A4,10-Jun-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Arihant Steels - Mumbai,CRISIL BB+/CRISIL A4+,2-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Arihant Syncotex Mills Private Limited,CRISIL BB-,27-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Arin Tea Private Limited,CRISIL BBB-,30-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Arinits Sales Private Limited,CRISIL BB-/CRISIL A4+,29-Sep-11,"CRISIL B+/CRISILA4",27-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Arion Healthcare,CRISIL BBB-/CRISIL A3,9-Sep-10,CRISIL BBB-,14-Feb-12,"CRISIL BBB-/CRISILA3",2-Jul-12,"CRISILBB+/CRISIL A4+",13-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Aristo Biotech and Life Science Private Limited,CRISIL BB-/CRISIL A4+,14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Aristo Transmission Private Limited,CRISIL BB-,30-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Aristocraft Papers Private Limited,CRISIL B+,17-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Aristoplast Products Private Limited,CRISIL BBB/CRISIL A3+,30-Apr-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Arix Ceramic Industries,CRISIL BB-/CRISIL A4+,14-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Ariyanayaki Agro Foods International,CRISIL B+,31-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Arjan Impex Private Limited,CRISIL BB/CRISIL A4+,9-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Arjav Diamonds,CRISIL BB/CRISIL A4+,27-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Arjun Chemicals Private Limited,CRISIL BBB+/CRISIL A2,13-Jan-10,"CRISIL BBB/CRISILA3+",12-Oct-15,"CRISIL BB+/CRISILA4+",1-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,Arjun Educational Trust,CRISIL B,9-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Arjun Enterprises Limited,CRISIL B+,17-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Arjun Pulp and Paper India Private Limited,CRISIL B+,27-Jan-14,CRISIL D,27-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Arjun Technologies India Limited,CRISIL BBB-/CRISIL A3,18-Jan-10,"CRISIL BB-/CRISILA4+",16-Nov-12,CRISIL B/CRISIL A4,16-Oct-15,"CRISIL D/CRISILD",22-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Arjuna Natural Extracts Limited,CRISIL A-/CRISIL A2+,16-Apr-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Ark Industries Private Limited,CRISIL BB/CRISIL A4,20-May-09,"CRISIL BB/CRISILA4+",15-Sep-09,"CRISIL BBB-/CRISILA3",30-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,Arka Carbon Fuels Private Limited,CRISIL BB/CRISIL A4+,28-Feb-13,"CRISIL BBB-/CRISILA3",1-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Arkay Leathers Private Limited,CRISIL A4,31-Dec-09,CRISIL A4+,27-Jun-12,CRISIL A4,22-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,ARM Overseas Private Limited,CRISIL B-,2-Mar-12,CRISIL B,26-Feb-13,CRISIL B/CRISIL A4,14-Aug-15,CRISIL B,10-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Armaax Auto Private Limited,CRISIL B+/CRISIL A4,21-May-14,CRISIL B,12-Aug-15,CRISIL B-,24-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Armee Infotech,CRISIL BB/CRISIL A4+,12-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,Armor Plast Limited,CRISIL BB/CRISIL A4+,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Armour Steel Buildings India Private Limited,CRISIL BB/CRISIL A4+,19-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,Armstrong Knitting Mills,CRISIL C/CRISIL A4,11-May-09,"CRISIL B-/CRISILA4",15-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Armstrong Machine Builders Private Limited,CRISIL BB/CRISIL A4+,29-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Armstrong Spinning Mills Private Limited,CRISIL D/CRISIL D,11-May-09,CRISIL C/CRISIL A4,1-Oct-09,CRISIL B/CRISIL A4,23-Apr-12,"CRISIL B+/CRISILA4",17-Jun-13,"CRISIL BB-/CRISIL A4+",7-May-14,"CRISILBB/CRISIL A4+",15-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Arochem Industries Private Limited,CRISIL B/CRISIL A4,18-Feb-13,"CRISIL B+/CRISILA4",30-Jun-14,"CRISIL BB-/CRISILA4+",5-Aug-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Aroma Agrotech Private Limited,CRISIL B/CRISIL A4,25-Jan-11,Suspended,16-Apr-13,"CRISIL BBB-/CRISILA3",15-May-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Aroma India Private Limited,CRISIL B-,30-Aug-13,CRISIL D,20-Oct-14,CRISIL B-,30-Aug-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,Aroma Realties Limited,CRISIL B,28-Jun-11,CRISIL B+,30-Sep-14,CRISIL D,9-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,Aroma Restaurants And Resorts Private Limited,CRISIL B,22-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,Aron Universal Limited,CRISIL BB+/CRISIL A4+,27-Dec-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Aroon Aviation Services Private Limited,CRISIL BB-/CRISIL A4+,29-May-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Arora Construction Co. Private Limited,CRISIL BB/CRISIL A4+,20-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Arora Fibres Limited,CRISIL B/CRISIL A4,13-Nov-14,CRISIL C/CRISIL A4,19-Oct-15,CRISIL D/CRISIL D,24-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Arora Industries,CRISIL BB,31-May-11,"CRISIL BB/CRISILA4+",10-Oct-14,"CRISIL BB+/CRISILA4+",14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,Arora Iron and Steel Rolling Mills Private Limited,CRISIL BB+/CRISIL A4+,10-May-12,CRISIL BB,16-Sep-13,"CRISIL BB/CRISILA4+",19-Jun-14,CRISIL BB,16-Mar-15,"CRISILBB/CRISIL A4+",18-Aug-15,"CRISILBB+/CRISIL A4+",21-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,
962,Arora Knit Fab Private Limited,CRISIL BB/CRISIL A4+,10-Oct-14,"CRISIL BB+/CRISILA4+",14-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,Arora Matthey Limited,CRISIL BB/CRISIL A4+,14-Oct-11,"CRISIL BB+/CRISILA4+",24-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Arora Rice Mills,CRISIL C,30-Dec-11,CRISIL B-,5-Oct-12,CRISIL B,10-Mar-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Arora Textiles Private Limited,CRISIL BB-/CRISIL A4+,24-Sep-12,"CRISIL BB/CRISILA4+",18-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Arora Yarn Private Limited,CRISIL B/CRISIL A4,24-Sep-12,CRISIL B,22-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Arpora Projects Private Limited,CRISIL B+/CRISIL A4,10-Jul-15,CRISIL D/CRISIL D,14-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Arr Ess Industries Private Limited,CRISIL BB-/CRISIL A4+,7-Sep-11,CRISIL D/CRISIL D,28-Nov-12,CRISIL B/CRISIL A4,17-Jun-13,"CRISIL B-/CRISILA4",31-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,ARR Infra Promoters,CRISIL B,3-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Arrow Cables Limited,CRISIL B+/CRISIL A4,13-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Arrow Powertech Private Limited,CRISIL BB-/CRISIL A4+,24-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Arrow Textiles Limited,CRISIL BBB-,27-Jan-11,CRISIL BBB,12-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,ARS Steels & Alloy International Pvt Ltd,CRISIL BBB-/CRISIL A3,7-Oct-15,"CRISIL BB+/CRISILA4+",27-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Arshad Cashew Industry,CRISIL B+,31-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Art N Glass Inc.,CRISIL BBB/CRISIL A3+,29-May-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Artech Realtors Private Limited,CRISIL BB-,13-Sep-11,CRISIL BB,17-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Arthi Textiles,CRISIL B+,8-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Arti Roller Flour Industries Private Limited,CRISIL B+,7-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Artifacts India,CRISIL BB,30-Dec-14,Suspended,18-Oct-16,CRISIL BB-,31-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Artistique Ceramics Private Limited,CRISIL BB-/CRISIL A4+,25-Jan-13,Suspended,6-Dec-14,"CRISIL BBB/CRISILA3+",21-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Arts Watermatics Private Limited,CRISIL B+/CRISIL A4,17-Apr-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Arul Industries,CRISIL BB-/CRISIL A4+,28-Oct-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Arun Engineering Projects Private Limited,CRISIL B/CRISIL A4,30-Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Arun Enterprises,CRISIL BB-/CRISIL A4+,28-Jul-12,"CRISIL B+/CRISILA4",27-Jan-14,"CRISIL BB-/CRISILA4+",12-Dec-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Arun Ginning and Pressing Industrial Corporation,CRISIL BB-,2-Mar-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Arun International,CRISIL B-/CRISIL A4,31-Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Arun Kumar. K,CRISIL B,28-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Arun Laser Ovens Private Limited,CRISIL B,26-Nov-15,CRISIL B+,23-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Arun Mathew,CRISIL B,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Arun Oil Trade,CRISIL BBB-/CRISIL A3,19-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Arun Polymers,CRISIL B/CRISIL A4,31-Aug-12,"CRISIL B+/CRISILA4",2-Jan-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Arun Rega Bakery Machineries Private Limited,CRISIL B+,28-Nov-14,CRISIL BB-,23-Dec-15,"CRISIL BB-/CRISILA4+",10-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Arun Shanti Education Trust,CRISIL BBB,23-Mar-10,CRISIL BBB+,16-May-13,"CRISIL BBB+/CRISILA2",26-Aug-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Arun Shelters Private Limited,CRISIL B,11-Jul-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Arun Textiles Private Limited,CRISIL BBB-/CRISIL A3,22-Dec-08,"CRISIL BBB/CRISILA3+",17-Sep-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Arun Vidyuth Private Limited,CRISIL BB-,22-Jul-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Aruna Alloy Steels Private Limited,CRISIL BBB-/CRISIL A3,30-Sep-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Aruna International-Sankarankovil,CRISIL B/CRISIL A4,5-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Arunachal Timber Traders Private Limited,CRISIL BB-/CRISIL A4+,10-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Arunachala Gounder Textile Mills Private Limited,CRISIL BBB-/CRISIL A3,19-Jan-09,"CRISIL BB+/CRISILA4+",3-Aug-12,"CRISIL BBB-/CRISILA3",8-Jul-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Arunachala Trading Company,CRISIL B/CRISIL A4,24-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Arunnachala Impex Private Limited,CRISIL BB-,20-Mar-15,"CRISIL BB/CRISILA4+",21-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,"Aruppukottai Shri Vijayalakshmi Textile MillsPrivateLimited",CRISIL BB-,19-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Aruppukottai Sri Jayavilas Limited,CRISIL B/CRISIL A4,29-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Arush Industries,CRISIL BBB+/CRISIL A2,26-May-15,"CRISIL BBB/CRISILA3+",16-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Arvee Laboratories (India) Private Limited,CRISIL B-,21-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Arvind Cotsyn India Limited,CRISIL BBB,28-Sep-11,CRISIL BBB+,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Arvind Cottex,CRISIL B,13-Jun-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Arvind Dyeing and Bleaching Mills Private Limited,CRISIL BBB-,9-Apr-15,CRISIL BBB,28-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Arvind Singla,CRISIL BB-,30-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Arya Construction,CRISIL BB-/CRISIL A4+,19-Mar-14,"CRISIL B+/CRISILA4",3-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Arya Energy Limited,CRISIL BB+/CRISIL A4+,2-Dec-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Arya Green Energy,CRISIL B+,29-Oct-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Arya Industries,CRISIL B,30-Sep-14,CRISIL B+,9-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Arya Steels Rolling India Limited,CRISIL B+/CRISIL A4,8-Jun-12,"CRISIL BB/CRISILA4+",7-Mar-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Arya Tankers Private Limited,CRISIL BBB-,26-Sep-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Arya Toll Infra Limited,CRISIL BBB-/CRISIL A3,19-Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,"Arya Vaidya Sala, Kottakkal",CRISIL A+/CRISIL A1+,30-Mar-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Arya Varta Cool Chain,CRISIL B,31-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Arya Voyagers Private Limited,CRISIL BB+,17-Feb-14,CRISIL BBB-,10-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Aryabhatta Academic Society,CRISIL BBB-,31-Mar-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Aryacon Contractors and Engineers,CRISIL B+/CRISIL A4,23-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Aryan Energy Private Limited,CRISIL BBB/CRISIL A3+,30-Mar-09,CRISIL A3+,21-Sep-10,CRISIL BBB,16-Jan-14,"CRISIL A-/CRISILA2+",4-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Aryan Granites and Monuments Private Limited,CRISIL BBB-/CRISIL A3,30-Oct-09,"CRISIL BB+/CRISILA4+",24-Jan-12,"CRISIL BBB-/CRISILA3",13-Nov-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Aryan Hospital,CRISIL D,28-Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Aryan Pumps and Enviro Solutions Private Limited,CRISIL BB-/CRISIL A4+,10-Sep-12,"CRISIL BB/CRISILA4+",4-Feb-14,"CRISIL BB+/CRISILA4+",12-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Aryan Residency Limited,CRISIL B-,22-Nov-12,CRISIL B,19-Jun-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Aryan Silk Mills,CRISIL B+,10-Feb-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Aryan Tea Plantation Private Limited,CRISIL BB+/CRISIL A4+,14-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Asa Bhanu Technical Services Limited,CRISIL BB-/CRISIL A4+,7-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Asan Steels Private Limited,CRISIL B+,30-Apr-13,CRISIL B-,29-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Asbesco India Private Limited,CRISIL BBB/CRISIL A3+,12-Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Ascent Air Private Limited,CRISIL A4+,17-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Ascent e-Digit Solutions Private Limited,CRISIL BB-/CRISIL A4+,27-Jan-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,"Ascent Engineers and Infrastructures India PrivateLimited",CRISIL BB/CRISIL A4+,12-Apr-13,"CRISIL BB+/CRISILA4+",16-Oct-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Ascent Networks Private Limited,CRISIL B/CRISIL A4,19-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Ascent Yarns Private Limited,CRISIL BBB-/CRISIL A3,19-Sep-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Asco Steel,CRISIL BB-,28-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Aseptic Fruit Products India Private Limited,CRISIL BBB-/CRISIL A3,6-Apr-10,Suspended,21-Dec-12,CRISIL B+,31-Jul-13,"CRISIL B+/CRISILA4",14-Nov-14,"CRISIL BB-/CRISIL A4+",26-Feb-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,ASG Leather Private Limited,CRISIL D/CRISIL D,22-Nov-12,"CRISIL B-/CRISILA4",23-Jan-13,CRISIL B+/CRISIL A4,4-Jun-15,"CRISIL BB-/CRISIL A4+",14-Nov-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
